NZHSC Code Hierarchy - NZHSC Level 2 Code,NZHSC Code Hierarchy - NZHSC Level 4 Code,NZHSC Code Hierarchy - NZHSC Level 6 Code,NZHSC Description Hierarchy - NZHSC Level 2 Description,NZHSC Description Hierarchy - NZHSC Level 4 Description,NZHSC Description Hierarchy - NZHSC Level 6 Description,Primary Industry Sector,SOPI Forecast Group,Granular Group
07,0711,071140,Vegetables and certain roots and tubers; edible,"Vegetables provisionally preserved; (e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption","Vegetables; cucumbers and gherkins, provisionally preserved but unsuitable in that state for immediate consumption",Horticulture,Other Processed Vegetables,Unknown
07,0711,071151,Vegetables and certain roots and tubers; edible,"Vegetables provisionally preserved; (e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption","Vegetables; mushrooms of the genus Agaricus, provisionally preserved but unsuitable in that state for immediate consumption",Horticulture,Other Processed Vegetables,Unknown
07,0711,071159,Vegetables and certain roots and tubers; edible,"Vegetables provisionally preserved; (e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption","Vegetables; mushrooms other than of the genus Agaricus, provisionally preserved but unsuitable in that state for immediate consumption",Horticulture,Other Processed Vegetables,Unknown
07,0711,071190,Vegetables and certain roots and tubers; edible,"Vegetables provisionally preserved; (e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption","Vegetables and mixed vegetables; n.e.c. in heading no. 0711, provisionally preserved but unsuitable in that state for immediate consumption",Horticulture,Other Processed Vegetables,Unknown
07,0712,071220,Vegetables and certain roots and tubers; edible,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared","Vegetables; onions, whole, cut, sliced, broken or in powder but not further prepared, dried",Horticulture,Other Processed Vegetables,Unknown
07,0712,071230,Vegetables and certain roots and tubers; edible,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared","Vegetables; mushrooms and truffles, whole, cut, sliced, broken or in powder but not further prepared, dried",Horticulture,Other Processed Vegetables,Unknown
07,0712,071231,Vegetables and certain roots and tubers; edible,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared","Vegetables; mushrooms of the genus Agaricus, whole, cut, sliced, broken or in powder but not further prepared, dried",Horticulture,Other Processed Vegetables,Unknown
07,0712,071232,Vegetables and certain roots and tubers; edible,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared","Vegetables; wood ears (Auricularia spp), whole, cut, sliced, broken or in powder but not further prepared, dried",Horticulture,Other Processed Vegetables,Unknown
07,0712,071233,Vegetables and certain roots and tubers; edible,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared","Vegetables; jelly fungi (Tremella spp)), whole, cut, sliced, broken or in powder but not further prepared, dried",Horticulture,Other Processed Vegetables,Unknown
07,0712,071234,Vegetables and certain roots and tubers; edible,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared","Vegetables; shiitake mushrooms (Lentinus edodes), whole, cut, sliced, broken or in powder but not further prepared, dried",Horticulture,Other Processed Vegetables,Unknown
